"읍면동별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"읍면동별(1)",합계,합계,합계,합계,합계,1 ~ 4명,1 ~ 4명,5 ~ 9명,5 ~ 9명,10 ~ 19명,10 ~ 19명,20 ~ 49명,20 ~ 49명,50~99명,50~99명,100 ~ 299명,100 ~ 299명,300 ~ 499명,300 ~ 499명,500~999명,500~999명,1000명 이상,1000명 이상
"읍면동별(1)",사업체,사업체,종사자,종사자,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자,사업체,종사자
"읍면동별(1)",소계,여성 대표자,계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",21690,9116,106028,55718,50310,17744,31647,2306,14484,938,12375,477,14690,143,10003,63,9238,9,3249,6,3661,4,6681
"신북읍",470,189,2643,1465,1178,355,637,60,386,29,388,18,569,5,304,3,359,-,-,-,-,-,-
"동면",1118,416,6763,4061,2702,798,1570,175,1124,93,1226,36,1131,11,802,4,514,1,396,-,-,-,-
"동산면",123,36,930,547,383,81,139,18,126,13,185,8,209,2,136,1,135,-,-,-,-,-,-
"신동면",230,84,1531,938,593,169,323,32,205,17,246,6,180,3,165,3,412,-,-,-,-,-,-
"동내면",1337,502,7354,4385,2969,985,1839,202,1265,91,1196,49,1472,7,478,1,289,1,300,1,515,-,-
"남면",97,33,729,476,253,79,128,6,41,6,83,4,132,1,63,1,282,-,-,-,-,-,-
"남산면",743,329,3807,2333,1474,633,1065,49,302,30,406,21,617,6,385,3,422,-,-,1,610,-,-
"서면",319,125,1439,735,704,274,494,19,130,14,176,6,203,6,436,-,-,-,-,-,-,-,-
"사북면",147,68,517,247,270,123,217,14,93,7,87,2,68,1,52,-,-,-,-,-,-,-,-
"북산면",70,25,176,106,70,61,89,4,20,4,46,1,21,-,-,-,-,-,-,-,-,-,-
"소양동",1007,402,6154,3345,2809,816,1484,104,633,42,535,30,902,10,689,4,569,-,-,-,-,1,1342
"교동",323,137,4579,2404,2175,273,514,32,204,6,66,6,183,3,209,-,-,-,-,2,1506,1,1897
"조운동",1022,515,3033,1102,1931,880,1606,102,623,32,407,6,166,1,91,1,140,-,-,-,-,-,-
"약사명동",1086,588,3780,1479,2301,955,1519,76,458,35,450,15,501,2,184,2,256,1,412,-,-,-,-
"근화동",847,323,3589,1877,1712,728,1293,57,366,36,478,21,640,4,320,-,-,1,492,-,-,-,-
"후평1동",1189,433,5645,3333,2312,947,1615,145,944,56,764,27,822,8,521,5,673,1,306,-,-,-,-
"후평2동",620,310,1809,703,1106,565,896,31,191,14,185,5,181,5,356,-,-,-,-,-,-,-,-
"후평3동",977,435,3504,1811,1693,851,1419,82,493,24,304,12,372,4,253,3,355,1,308,-,-,-,-
"효자1동",293,115,1800,1017,783,245,437,22,141,10,135,11,307,1,82,4,698,-,-,-,-,-,-
"효자2동",1278,485,8014,4585,3429,1074,2020,130,808,43,548,20,600,5,383,3,493,1,300,1,506,1,2356
"효자3동",820,317,3859,1630,2229,661,1283,121,754,25,311,9,236,3,189,-,-,-,-,-,-,1,1086
"석사동",2481,1065,10325,4928,5397,2058,3720,259,1626,90,1216,50,1593,17,1189,7,981,-,-,-,-,-,-
"퇴계동",2679,1186,11700,5739,5961,2201,3865,294,1845,105,1400,51,1626,19,1349,8,1091,-,-,1,524,-,-
"강남동",1403,599,7341,3811,3530,1111,2008,154,973,81,1038,40,1204,9,621,7,1136,1,361,-,-,-,-
"신사우동",1011,399,5007,2661,2346,821,1467,118,733,35,499,23,755,10,746,3,433,1,374,-,-,-,-
